codigo_provincia,provincia_residencia,fecha,positividad
021,Antofagasta,2020-05-20,0.1904188212061866
021,Antofagasta,2020-05-21,0.2033048830565996
021,Antofagasta,2020-05-22,0.21174566740848746
021,Antofagasta,2020-05-23,0.21309097643820168
021,Antofagasta,2020-05-24,0.20084873838951203
021,Antofagasta,2020-05-25,0.2065429188957226
021,Antofagasta,2020-05-26,0.22160177977623663
021,Antofagasta,2020-05-27,0.21302698193257089
021,Antofagasta,2020-05-28,0.19980703410997405
021,Antofagasta,2020-05-29,0.20014601166284804
021,Antofagasta,2020-05-30,0.2127324631287562
021,Antofagasta,2020-05-31,0.22397445111493025
021,Antofagasta,2020-06-01,0.23168629830046167
021,Antofagasta,2020-06-02,0.2214705954035863
021,Antofagasta,2020-06-03,0.22776107042721497
021,Antofagasta,2020-06-04,0.23234100678948572
021,Antofagasta,2020-06-05,0.23174576869424765
021,Antofagasta,2020-06-06,0.24218205897649425
021,Antofagasta,2020-06-07,0.24533938326197294
021,Antofagasta,2020-06-08,0.24694625728264002
021,Antofagasta,2020-06-09,0.24492887096719193
021,Antofagasta,2020-06-10,0.2548799588403577
021,Antofagasta,2020-06-11,0.26412658904551733
021,Antofagasta,2020-06-12,0.2820753069942353
021,Antofagasta,2020-06-13,0.28051091817250445
021,Antofagasta,2020-06-14,0.2998890474452836
021,Antofagasta,2020-06-15,0.3005680068158484
021,Antofagasta,2020-06-16,0.320037997550552
021,Antofagasta,2020-06-17,0.3213071024857457
021,Antofagasta,2020-06-18,0.326697091720237
021,Antofagasta,2020-06-19,0.32898646900961426
021,Antofagasta,2020-06-20,0.32822344058395825
021,Antofagasta,2020-06-21,0.3253952430322487
021,Antofagasta,2020-06-22,0.3258780319218343
021,Antofagasta,2020-06-23,0.3336890435430955
021,Antofagasta,2020-06-24,0.33305505121640694
021,Antofagasta,2020-06-25,0.33817080152645246
021,Antofagasta,2020-06-26,0.3383056996783477
021,Antofagasta,2020-06-27,0.34864957907793365
021,Antofagasta,2020-06-28,0.35999966096662683
021,Antofagasta,2020-06-29,0.38084751230228303
021,Antofagasta,2020-06-30,0.3718182454231176
021,Antofagasta,2020-07-01,0.3811079535761375
021,Antofagasta,2020-07-02,0.37821967962248826
021,Antofagasta,2020-07-03,0.3814665564454581
021,Antofagasta,2020-07-04,0.3679665734158956
021,Antofagasta,2020-07-05,0.3579864340592742
021,Antofagasta,2020-07-06,0.3443900541218641
021,Antofagasta,2020-07-07,0.34500920333595386
021,Antofagasta,2020-07-08,0.34236793975545693
021,Antofagasta,2020-07-09,0.34471056694717866
021,Antofagasta,2020-07-10,0.336095929596594
021,Antofagasta,2020-07-11,0.3339752329706376
021,Antofagasta,2020-07-12,0.31757338659526557
021,Antofagasta,2020-07-13,0.31397399933690856
021,Antofagasta,2020-07-14,0.30279220882264385
021,Antofagasta,2020-07-15,0.28610779359368743
021,Antofagasta,2020-07-16,0.2723706085788364
082,Arauco,2020-03-14,NA
082,Arauco,2020-03-16,NA
082,Arauco,2020-03-17,NA
082,Arauco,2020-03-18,NA
082,Arauco,2020-03-19,NA
082,Arauco,2020-03-20,NA
082,Arauco,2020-03-21,0.09999999999999999
082,Arauco,2020-03-22,0.09999999999999999
082,Arauco,2020-03-23,0.1238095238095238
082,Arauco,2020-03-24,0.09523809523809523
082,Arauco,2020-03-25,0.023809523809523805
082,Arauco,2020-03-26,0.023809523809523805
082,Arauco,2020-03-27,0.023809523809523805
082,Arauco,2020-03-28,0.0300207039337474
082,Arauco,2020-03-30,0.0300207039337474
082,Arauco,2020-03-31,0.006211180124223599
082,Arauco,2020-04-01,0.024844720496894408
082,Arauco,2020-04-02,0.024844720496894408
082,Arauco,2020-04-03,0.053416149068322975
082,Arauco,2020-04-04,0.053416149068322975
082,Arauco,2020-04-05,0.047204968944099375
082,Arauco,2020-04-06,0.047204968944099375
082,Arauco,2020-04-07,0.047204968944099375
082,Arauco,2020-04-08,0.028571428571428564
082,Arauco,2020-04-09,0.028571428571428564
082,Arauco,2020-04-10,0
082,Arauco,2020-04-11,0
082,Arauco,2020-04-12,0
082,Arauco,2020-04-13,0
082,Arauco,2020-04-14,0
082,Arauco,2020-04-15,0
082,Arauco,2020-04-16,0
082,Arauco,2020-04-17,0
082,Arauco,2020-04-18,0
082,Arauco,2020-04-19,0
082,Arauco,2020-04-20,0.0049261083743842304
082,Arauco,2020-04-21,0.0049261083743842304
082,Arauco,2020-04-22,0.0049261083743842304
082,Arauco,2020-04-23,0.0049261083743842304
082,Arauco,2020-04-24,0.0049261083743842304
082,Arauco,2020-04-25,0.0049261083743842304
082,Arauco,2020-04-26,0.0049261083743842304
082,Arauco,2020-04-28,0
082,Arauco,2020-04-29,0
082,Arauco,2020-04-30,0
082,Arauco,2020-05-01,0
082,Arauco,2020-05-02,0
082,Arauco,2020-05-03,0
082,Arauco,2020-05-04,0
082,Arauco,2020-05-05,0.010989010989010981
082,Arauco,2020-05-06,0.025274725274725265
082,Arauco,2020-05-07,0.0451159951159951
082,Arauco,2020-05-08,0.05989432023914781
082,Arauco,2020-05-09,0.05989432023914781
082,Arauco,2020-05-10,0.05989432023914781
082,Arauco,2020-05-11,0.05989432023914781
082,Arauco,2020-05-12,0.05201089931224862
082,Arauco,2020-05-13,0.04871419601554532
082,Arauco,2020-05-14,0.03703619148039794
082,Arauco,2020-05-15,0.02821024730962618
082,Arauco,2020-05-16,0.02821024730962618
082,Arauco,2020-05-17,0.06249596159534047
082,Arauco,2020-05-18,0.08566198476136364
082,Arauco,2020-05-19,0.08255639469925183
082,Arauco,2020-05-20,0.08426579640865355
082,Arauco,2020-05-21,0.09395967395967396
082,Arauco,2020-05-22,0.10229300729300729
082,Arauco,2020-05-23,0.10878651378651379
082,Arauco,2020-05-24,0.09490896276610562
082,Arauco,2020-05-25,0.08194702123273552
082,Arauco,2020-05-26,0.0994397326029979
082,Arauco,2020-05-27,0.12245560561887092
082,Arauco,2020-05-28,0.12339545524293107
082,Arauco,2020-05-29,0.128340510187986
082,Arauco,2020-05-30,0.12756128940876524
082,Arauco,2020-05-31,0.11905788804822103
082,Arauco,2020-06-01,0.11657581413757569
082,Arauco,2020-06-02,0.10613777648865368
082,Arauco,2020-06-03,0.09468225088218467
082,Arauco,2020-06-04,0.08340405539346288
082,Arauco,2020-06-06,0.06946429145369895
082,Arauco,2020-06-07,0.08117160852686968
082,Arauco,2020-06-08,0.085500612855874
082,Arauco,2020-06-09,0.08719775741016142
082,Arauco,2020-06-10,0.09442879797453531
082,Arauco,2020-06-11,0.08103960308410992
082,Arauco,2020-06-12,0.0813130138838365
082,Arauco,2020-06-13,0.087926770497593107
082,Arauco,2020-06-14,0.07903395235832429
082,Arauco,2020-06-15,0.0780567741966801
082,Arauco,2020-06-16,0.0775661933489564
082,Arauco,2020-06-17,0.09502651080927385
082,Arauco,2020-06-18,0.10173936317430013
082,Arauco,2020-06-19,0.11592517736011432
082,Arauco,2020-06-20,0.1565234679584049
082,Arauco,2020-06-21,0.158890567087457
082,Arauco,2020-06-22,0.15916192932589396
082,Arauco,2020-06-23,0.16236273795123088
082,Arauco,2020-06-24,0.14428130247849108
082,Arauco,2020-06-25,0.15026294969725168
082,Arauco,2020-06-26,0.14849398695267918
082,Arauco,2020-06-27,0.10897794743663967
082,Arauco,2020-06-28,0.12889438858937194
082,Arauco,2020-06-29,0.12980133081990017
082,Arauco,2020-06-30,0.13787397096801202
082,Arauco,2020-07-01,0.13529311853708462
082,Arauco,2020-07-02,0.13016223345940872
082,Arauco,2020-07-03,0.13054519481797983
082,Arauco,2020-07-04,0.12741039857973532
082,Arauco,2020-07-05,0.10525608230777198
082,Arauco,2020-07-06,0.10805195899745398
